0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 14184.6 119.567 5892.69 0 935.666 7236.66
200 11248.8 83.8327 2890.8 0 936.272 7337.88
300 8589.95 314.36 0 0 936.439 7339.15
400 8007.19 38.7557 0 0 935.076 7033.35
500 10369.1 38.7557 1988.24 0 925.672 7416.42
600 8336.36 -2.27374e-13 0 0 950.337 7386.03
700 8366.57 -2.27374e-13 0 0 954.345 7412.22
800 13261.5 1678.24 3501.12 0 921.401 7160.71
900 12055.3 423.951 3495.76 0 944.858 7190.7
1000 10460.3 1.13687e-13 2013.13 0 954.575 7492.58
1100 8199.66 1.13687e-13 12.9572 0 946.477 7240.23
1200 12093.1 1.13687e-13 1981.65 1820.63 938.866 7351.99
1300 10188.2 2.27374e-13 1953.47 0 935.902 7298.85
1400 10902.3 1585.47 2248.09 0 887.486 6181.26
1500 8447.95 2.70006e-13 0 0 960.434 7487.52
1600 9251.79 1.13687e-13 794.016 0 938.924 7518.85
1700 9032.55 527.107 530.632 0 932.193 7042.61
1800 7647.02 2.27374e-13 0 0 936.974 6710.05
1900 10660.4 87.837 1088.17 1820.63 924.59 6739.21
2000 8122.77 2.27374e-13 0 0 948.138 7174.63
2100 14023.2 167.331 5706.33 0 921.866 7227.69
2200 12353 55.9856 4336.44 0 918.115 7042.46
2300 8688.6 524.659 0 0 941.89 7222.05
2400 10896.4 1611.74 2000 0 898.012 6386.64
2500 13443.2 665.516 2714.35 1820.63 932.664 7310.03
2600 8426.48 18.3005 0 0 954.403 7453.77
2700 8501.94 1.49214e-13 0 0 962.796 7539.14
2800 9071.45 1.49214e-13 0 1820.63 903.67 6347.15
2900 9749.1 0 314.648 1820.63 920.678 6693.14
3000 8488.46 0 0 0 961.258 7527.2
3100 12297.8 0 3924.59 0 949.039 7424.21
3200 9522.61 11.9677 1992.01 0 905.638 6612.99
3300 12625.2 821.799 3163.36 0 959.64 7680.38
3400 7205.16 208.228 0 0 892.495 6104.43
3500 8260.89 -1.42109e-13 0 0 944.748 7316.14
3600 8620.96 -4.54747e-13 0 0 957.482 7663.47
3700 8574.95 -4.54747e-13 1469.76 0 902.606 6202.58
3800 7332.34 -4.54747e-13 0 0 920.046 6412.3
3900 7204.45 132.573 0 0 904.717 6167.16
4000 11017.7 3472.26 2000 0 837.683 4707.72
4100 8698.15 449.647 0 0 951.553 7296.95
4200 12096.4 449.647 1686.29 1820.63 938.945 7200.93
4300 8368.5 230.131 0 0 949.391 7188.98
4400 9326.77 -8.52651e-14 873.503 0 938.409 7514.86
4500 8462.26 -8.52651e-14 0 0 939.436 7522.82
4600 10379.8 -1.13687e-13 228.381 1820.63 943.942 7386.85
4700 10702.1 305.53 1973.66 0 934.94 7487.99
4800 18222.6 1666.16 8203.36 0 926.933 7426.14
4900 7739.37 814.726 0 0 902.104 6022.54
5000 10486.6 -1.13687e-13 1987.96 0 943.591 7555.09
5100 9910.78 414.373 1105.5 0 949.311 7441.6
5200 17510.6 530.207 5579.95 3641.26 913.144 6846.08
5300 13801.2 -2.27374e-13 3988.78 1820.63 926.366 7065.42
5400 7973.15 -2.27374e-13 0 0 928.902 7044.25
5500 10691.2 -4.54747e-13 0 3641.26 891.924 6158
5600 8451.55 -4.54747e-13 0 0 959.004 7492.54
5700 8403.32 -4.54747e-13 0 0 932.696 7470.63
5800 12368.8 -4.54747e-13 3935.81 0 936.093 7496.91
5900 8539.57 -4.54747e-13 0 0 948.246 7591.32
6000 9350.81 -4.54747e-13 734.89 0 956.912 7659.01
6100 11694.6 163.768 3163.77 0 928.539 7438.53
6200 15526 927.004 4872.66 1820.63 922.873 6982.82
6300 11233.2 754.281 2000 1820.63 881.392 5776.85
6400 9532.08 -6.82121e-13 273.829 1820.63 909.742 6527.89
6500 7259.24 -6.82121e-13 0 0 922.844 6336.39
6600 8133.9 -9.09495e-13 0 0 958.007 7175.89
6700 11075.1 250.075 2580.45 0 935.714 7308.84
6800 11689.9 64.3779 3482.56 0 923.93 7219.02
6900 11161 2855.09 0 0 921.51 7384.4
7000 11547.5 -6.82121e-13 1671.88 1820.63 939.604 7115.34
7100 8559.65 -6.82121e-13 0 0 950.528 7609.12
7200 8171.96 -4.54747e-13 0 0 938.644 7233.32
7300 7650.54 -4.54747e-13 0 0 920.284 6730.26
7400 10933.1 -4.54747e-13 1624.79 1820.63 900.658 6587.03
7500 9376.84 -4.54747e-13 1985.18 0 896.726 6494.94
7600 7825.82 596.317 0 0 895.999 6333.51
7700 8505.81 -4.54747e-13 0 0 944.404 7561.41
7800 9703.17 176.584 1984.65 0 919.864 6622.07
7900 12870 -4.54747e-13 3980.62 1820.63 913.663 6155.12
8000 12738.3 2948.57 1999.92 0 911.502 6878.27
8100 10275.2 78.9149 1999.75 0 925.266 7271.28
8200 10004.7 -5.82645e-13 569.901 1820.63 932.959 6681.17
8300 9905.81 157.77 1921.2 0 924.605 6902.23
8400 6818.36 -4.54747e-13 0 0 894.375 5923.98
8500 8099.74 -4.54747e-13 407.757 0 931.975 6760.01
8600 8004.37 -4.54747e-13 0 0 941.448 7062.92
8700 7925.17 -4.54747e-13 0 0 920.227 7004.95
8800 12013.1 385.612 1824.45 1820.63 926.957 7055.42
8900 8101.99 10.7535 0 0 927.865 7163.37
9000 9870.66 10.7535 1583.77 0 950.463 7325.67
9100 7780.46 738.381 0 0 907.313 6134.76
9200 8312.07 -9.09495e-13 0 0 954.611 7357.46
9300 8290.93 -9.09495e-13 0 0 952.172 7338.75
9400 8378.1 -9.09495e-13 0 0 962.212 7415.89
9500 8557.53 -9.09495e-13 0 0 950.287 7607.24
9600 8291.21 -9.09495e-13 0 0 919.817 7371.39
9700 12480.3 460.374 3980.42 0 890.624 7148.92
9800 12690.2 -9.09495e-13 4431.33 0 916.083 7342.74
9900 15579.4 690.032 3999.71 3641.26 901.823 6346.61
10000 10259 -9.09495e-13 1990.33 0 948.43 7320.27
10100 8379.78 14.1154 0 0 928.379 7437.29
10200 8259.01 124.623 0 0 932.063 7202.33
10300 10076.9 -1.29319e-12 172.318 1820.63 950.642 7133.35
10400 11609.1 1819.25 1999.2 0 929.497 6861.14
10500 8371.33 475.418 0 0 928.761 6967.15
10600 12909.3 -1.36424e-12 3991.81 1820.63 899.594 6197.25
10700 14247.9 1067.66 4987.18 1820.63 879.419 5493.01
10800 8114.97 383.888 0 0 928.085 6803
10900 8387.57 162.275 0 0 935.274 7290.02
11000 10201.2 208.073 2705.2 0 886.749 6401.22
11100 6511.57 167.74 0 0 880.079 5463.75
11200 7858.99 523.34 0 0 919.836 6415.82
11300 8473.55 -1.36424e-12 0 0 960.299 7513.25
11400 7442.81 83.3959 0 0 914.122 6445.29
11500 12211 1772.07 3896.37 0 871.187 5671.36
11600 7171.04 527.719 0 0 883.188 5760.13
11700 7977.62 -1.59162e-12 0 0 937.077 7040.54
11800 8937.48 -1.59162e-12 1394.61 0 919.032 6623.84
11900 10353.9 1493.31 462.833 0 964.405 7433.33
12000 10662.2 220.181 1914.03 0 946.924 7581.02
12100 7995.8 -1.36424e-12 0 0 930.491 7065.31
12200 11908 1922.76 1911.62 0 921.106 7152.54
12300 10143 -1.36424e-12 2441.5 0 945.957 6755.54
12400 8407.55 139.457 2000 0 862.612 5405.48
12500 6614.32 383.624 0 0 869.665 5361.03
12600 9571.1 777.648 1035.58 1820.63 857.381 5079.86
12700 7475.91 777.648 0 0 898.196 5800.06
12800 13424 81.6627 4119.76 3641.26 844.134 4737.22
12900 13125.4 2086.75 1418.97 1820.63 909.876 6889.2
13000 13120.9 3213.33 1983.94 0 929.288 6994.38
13100 9981.22 1698.84 0 0 945.628 7336.76
13200 7760.67 -1.13687e-12 0 0 937.313 6823.36
13300 9190.97 754.688 1162.34 0 904.71 6369.23
13400 8179.27 -1.13687e-12 0 0 936.145 7243.12
13500 13558.7 -1.13687e-12 5346.47 0 910.696 7301.52
13600 10336.5 -1.13687e-12 1967.69 0 928.743 7440.1
13700 8541.14 729.84 0 0 932.125 6879.17
13800 11272.5 -9.09495e-13 2719.73 0 949.742 7602.98
13900 7943.1 -9.09495e-13 0 0 937.719 7005.38
14000 10192.5 1685.32 0 0 944.558 7562.62
14100 10185.2 -9.09495e-13 1978.06 0 910.108 7297.03
14200 8769.5 -9.09495e-13 0 0 974.241 7795.26
14300 9316 812.012 0 0 944.196 7559.79
14400 10391.1 -9.09495e-13 1985.47 0 932.965 7472.71
14500 12448.9 164.322 3974.5 0 921.985 7388.06
14600 14055.6 -9.09495e-13 3977.15 1820.63 942.209 7315.61
14700 10168.9 -4.54747e-13 1827.18 0 949.911 7391.81
14800 9989.91 1601.32 0 0 947.706 7440.89
14900 10756 -4.54747e-13 2658.16 0 924.108 7173.69
15000 8266.37 -4.54747e-13 0 0 955.792 7310.57
15100 8343.91 158.142 0 0 948.141 7237.63
15200 9970.31 -4.54747e-13 0 1820.63 931.764 7217.92
15300 12174.9 356.121 1942.4 1820.63 928.857 7126.92
15400 10443.4 -4.54747e-13 1914.34 0 947.047 7581.99
15500 11236.2 205.596 1992.44 1820.63 892.486 6325.07
15600 16501.1 464.074 4984.43 3641.26 904.901 6506.41
15700 12432.5 -4.54747e-13 5989.1 0 877.549 5565.87
15800 8582.54 17.5354 0 0 951.137 7613.87
15900 7608.48 -3.83693e-13 0 0 912.66 6695.82
16000 8686.07 -4.54747e-13 0 0 964.845 7721.23
16100 9587.92 -4.54747e-13 1104.52 0 941.849 7541.56
16200 14312.6 3098.48 5383.48 0 830.103 5000.54
16300 7680.04 -5.68434e-13 0 0 924.69 6755.35
16400 7616.38 -4.54747e-13 0 0 926.519 6689.86
16500 6676.37 -9.09495e-13 0 0 899.83 5776.54
16600 8443.48 -9.09495e-13 0 0 953.543 7489.93
16700 8401.71 -9.09495e-13 0 0 948.76 7452.95
16800 8303.53 276.488 0 0 929.861 7097.18
16900 8663.05 -1.08002e-12 0 0 962.245 7700.81
17000 11096.4 -1.36424e-12 1999.88 1820.63 883.044 6392.8
17100 8403 692.566 0 0 916.818 6793.61
17200 9338.33 -1.36424e-12 2019.2 0 895.102 6424.03
17300 10393 1710.43 1132.32 0 914.095 6636.21
17400 11499.5 1574.11 0 1820.63 954.136 7150.65
17500 8259.77 -1.36424e-12 0 0 955.575 7304.19
17600 11186 -1.33582e-12 3922.81 0 917.092 6346.09
17700 7590.53 -1.36424e-12 0 0 931.053 6659.48
17800 9543.97 -1.36424e-12 1778.17 0 924.331 6841.47
17900 7671.77 -1.36424e-12 0 0 935.633 6736.13
18000 10403.9 -1.36424e-12 528.134 1820.63 923.914 7131.25
18100 7789.63 -1.36424e-12 0 0 926.147 6863.48
18200 8444.28 -1.36424e-12 0 0 965.678 7478.6
18300 8239.8 311.057 0 0 944.665 6984.07
18400 10600.6 247.585 1921.88 0 935.882 7495.28
18500 12372.4 1688.02 768.723 1820.63 927.687 7167.3
18600 8396.82 -1.53477e-12 0 0 931.951 7464.87
18700 10515.8 715.98 1857.97 0 918.664 7023.18
18800 12040.5 -1.64846e-12 3708.58 0 924.504 7407.43
18900 10330.9 171.403 1999.25 0 932.331 7227.93
19000 9798.67 1384.4 1882.65 0 873.055 5658.57
19100 10241.9 1573.96 1889.1 0 890.436 5888.37
19200 8067.29 72.496 0 0 937.781 7057.01
19300 11862 72.496 1985.98 1820.63 936.387 7046.54
19400 8169.38 -1.59162e-12 0 0 940.227 7229.15
19500 11220.9 -1.59162e-12 3123.35 0 931.862 7165.68
19600 10766.8 -1.59162e-12 1977.55 0 976.462 7812.8
19700 10351.3 -1.59162e-12 1663.21 0 965.069 7723
19800 8011.94 -1.36424e-12 0 0 934.957 7076.98
19900 6747.99 -1.36424e-12 0 0 899.042 5848.95
20000 11370.1 603.417 1999.14 1820.63 893.114 6053.85
20100 8758.89 -1.25056e-12 0 0 973.049 7785.84
20200 8033.48 118.118 0 0 946.096 6969.26
20300 8299.96 -1.36424e-12 0 0 949.104 7350.86
20400 13481.2 1187.98 2215.7 1820.63 933.866 7323.05
20500 8205.11 -1.36424e-12 0 0 926.023 7279.09
20600 8500.84 -9.09495e-13 0 0 960.018 7540.82
20700 10011.7 -9.09495e-13 2036.76 0 936.021 7038.91
20800 11351 2522.31 1903.04 0 889.563 6036.12
20900 9991.89 1694.92 0 0 920.48 7376.49
21000 11995.2 94.6503 3425.42 0 940.903 7534.21
21100 11576.1 416.016 3119.93 0 890.695 7149.45
21200 13724.7 -4.54747e-13 5474.48 0 915.087 7335.12
21300 9993.65 -4.54747e-13 1467.12 0 946.762 7579.77
21400 11555.4 1519.3 1987.13 0 919.548 7129.46
21500 8143.52 440.884 149.947 0 908.962 6643.73
21600 14376.5 670.901 2424.79 3641.26 896.505 6743.06
21700 8591.44 5.68434e-14 0 0 954.137 7637.3
21800 11207.7 1.13687e-13 1042.56 1820.63 947.414 7397.11
21900 9075.52 711.385 0 0 954.657 7409.48
22000 10539.5 2314.78 603.289 0 908.462 6712.93
22100 7022.49 0 0 0 903.967 6118.52
22200 14440 498.103 5173.36 1820.63 874.577 6073.34
22300 7848.26 0 0 0 932.109 6916.15
22400 7996.76 0 0 0 924.788 7071.98
22500 11275.6 0 1999.98 1820.63 905.377 6549.57
22600 8290.18 0 207.28 0 934.872 7148.03
22700 7929.35 2.27374e-13 0 0 943.391 6985.96
22800 9392.12 2.27374e-13 1876.47 0 913.731 6601.92
22900 16174.8 797.316 5905.13 1820.63 879.68 6772.03
23000 8529.26 2.27374e-13 0 0 947.073 7582.18
23100 8697.9 3.41061e-13 0 0 966.179 7731.72
23200 9323.17 797.672 0 0 946.645 7578.85
23300 11770.4 2313.47 1767.58 0 918.17 6771.18
23400 14464.5 2760.37 3845.31 0 918.291 6940.53
23500 8244.16 4.54747e-13 0 0 947.73 7296.43
23600 8205.18 0.76821 0 0 943.125 7261.29
23700 8858.02 4.54747e-13 209.834 0 960.564 7687.62
23800 7242.23 103.193 0 0 911.324 6227.71
23900 12461.1 806.627 3954.19 0 888.788 6811.47
24000 11822.4 103.193 1999.97 1820.63 912.324 6986.31
24100 12488.1 1103.85 5204.36 0 851.529 5328.32
24200 7193.75 4.26326e-13 0 0 912.388 6281.36
24300 10052.9 124.264 3609.54 0 860.994 5458.08
24400 8357.51 525.685 0 0 922.131 6909.69
24500 8221.91 5.68434e-13 0 0 941.959 7279.95
24600 7630.16 5.68434e-13 47.0793 0 922.861 6660.22
24700 8562.32 6.82121e-13 0 0 950.831 7611.49
24800 12450.8 202.036 3854.64 0 931.643 7462.49
24900 8702.95 6.82121e-13 0 0 966.749 7736.2
25000 8633.02 42.4503 0 0 954.039 7636.53
25100 19458.7 2216.64 9212.98 0 889.404 7139.69
25200 9950.17 707.11 1326.68 0 934.552 6981.83
25300 8487.01 119.943 0 0 950.361 7416.71
25400 7693.79 4.54747e-13 0 0 930.702 6763.08
25500 7823.85 4.54747e-13 0 0 936.884 6886.97
25600 7856.19 647.953 4.7462 0 900.089 6303.41
25700 10460.4 4.54747e-13 2000 0 959.034 7501.33
25800 7291.23 39.3016 0 0 912.719 6339.21
25900 16812.2 2809.68 4135.92 1820.63 911.949 7134.07
26000 7980.49 215.859 0 0 928.128 6836.5
26100 10044.2 176.558 1987.66 0 921.284 6958.67
26200 9284.32 4.54747e-13 1379.45 0 918.308 6986.56
26300 9046.22 4.54747e-13 1063.45 0 927.479 7055.29
26400 8543.3 580.313 0 0 925.154 7037.83
26500 7921.86 4.54747e-13 0 0 920.312 7001.55
26600 9706.09 242.1 325.526 1820.63 916.153 6401.68
26700 12944.1 270.726 3913.78 1820.63 887.735 6051.29
26800 7418.82 71.2619 0 0 912.282 6435.28
26900 8260.11 71.2619 0 0 953.038 7235.81
27000 8330.79 166.012 0 0 950.239 7214.54
27100 8762.01 615.597 0 0 944.951 7201.46
27200 8475.28 69.8719 0 0 932.935 7472.48
27300 7636.31 4.68958e-13 0 0 908.589 6727.72
27400 10852.4 4.68958e-13 2483.79 0 928.719 7439.91
27500 13498.8 1162.83 3932.71 0 932.692 7470.6
27600 8691 4.54747e-13 0 0 965.4 7725.6
27700 8593.99 346.591 0 0 935.538 7311.86
27800 7858.02 1.7053e-13 0 0 928.098 6929.92
27900 9923.04 1.13687e-13 1855.89 0 938.313 7128.83
28000 10074.8 0 1911.6 0 925.776 7237.39
28100 9534.72 0 1326.11 0 910.279 7298.33
28200 12893.8 1285.7 3633.1 0 916.582 7058.43
28300 10168.3 2.27374e-13 1989.51 0 940.387 7238.44
28400 9116.47 168.276 0 1820.63 902.835 6224.74
28500 8128.55 2.55795e-13 0 0 934.539 7194.01
28600 8248.23 3.41061e-13 0 0 948.433 7299.8
28700 8206.99 2.27374e-13 0 0 943.656 7263.33
28800 14469.1 923.548 5484.64 0 915.819 7145.09
28900 14307 2.27374e-13 5583.53 1820.63 861.697 6041.16
29000 9063.35 1.7053e-13 1999.99 0 901.844 6161.52
29100 12781.9 1685.6 1999.97 1820.63 909.01 6366.72
29200 7662.29 2.27374e-13 0 0 920.548 6741.74
29300 9076.02 858.808 0 0 938.91 7278.31
29400 9404.17 2.27374e-13 2000 0 910.806 6493.36
29500 10118.7 2.27374e-13 1957.29 0 937.632 7223.76
29600 11838.6 957.522 2000 1820.63 894.505 6165.94
29700 11015.1 358.915 1954.63 0 966.588 7734.94
29800 11648.8 1.13687e-13 3230.33 0 934.431 7484.05
29900 8349.79 1.13687e-13 0 0 959.751 7390.04
30000 10406.9 466.818 1952.29 0 917.68 7070.1
30100 10519.7 1.13687e-13 817.418 1820.63 922.296 6959.35
30200 8347.19 0 0 0 943.428 7403.76
30300 8502.61 0 0 0 963.186 7539.42
30400 8207.98 38.0835 0 0 960.155 7209.74
30500 7238.36 0 0 0 907.062 6331.3
30600 10026.9 0 1997.57 0 946.641 7082.72
30700 7536.05 1.13687e-13 925.393 0 884.632 5726.03
30800 15839.6 2328.49 4737.64 1820.63 881.816 6071.01
30900 9210.19 0 1962.07 0 912.282 6335.84
31000 8126.99 0 0 0 951.778 7175.21
31100 8535.53 0 0 0 969.164 7566.37
31200 8473.73 0 0 0 962.114 7511.62
31300 12138.6 1228.93 1980.69 1820.63 892.188 6216.19
31400 9048.43 0 344.452 1820.63 902.207 5981.14
31500 8641.24 0 0 0 976.858 7664.38
31600 10690.4 480.57 1906.53 0 938.255 7365.08
31700 9295.39 0 1999.99 0 919.677 6375.72
31800 7275.45 0 0 0 918.325 6357.13
31900 8281.09 0 0 0 968.37 7312.72
32000 8106.91 0 0 0 946.422 7160.49
32100 7885.16 0 0 0 949.345 6935.82
32200 8903.27 743.017 0 0 957.314 7202.94
32300 7996.19 2.41585e-13 0 0 940.233 7055.96
32400 11569.6 2.27374e-13 1858.89 1820.63 920.691 6969.37
32500 8383.73 2122.9 0 0 870.726 5390.11
32600 7943.2 0 0 0 947.887 6995.32
32700 12273 0 4295.13 0 925.069 7052.84
32800 9407.37 0 0 1820.63 931.816 6654.93
32900 16010.3 2400.14 6254.95 0 893.011 6462.22
33000 8948.94 759.886 2000 0 862.464 5326.59
33100 7847.6 394.325 0 0 919.024 6534.25
33200 7584.18 0 0 0 928.503 6655.68
33300 7366.25 -1.13687e-13 0 0 931.246 6435
33400 13655.8 315.079 4623.47 1820.63 879.75 6016.87
33500 10432.8 1936.23 0 0 943.349 7553.21
33600 8523 -2.27374e-13 0 0 946.36 7576.64
33700 7820.32 -3.41061e-13 0 0 923.373 6896.95
33800 9565.32 -4.54747e-13 1989.2 0 913.626 6662.49
33900 9237.11 548.939 1555.1 0 878.512 6254.55
34000 10842.3 548.939 3393.87 0 849.375 6050.14
34100 9617.68 548.939 210.272 1820.63 890.59 6147.25
34200 13589 -9.09495e-13 5049.27 1820.63 889.188 5829.94
34300 8686.15 314.09 0 0 929.112 7442.95
34400 10324.5 314.09 1996.28 0 887.653 7126.47
34500 8694.13 -9.09495e-13 0 0 965.754 7728.38
34600 12893.3 1610.78 1848.57 1820.63 913.839 6699.49
